League Year,Team Name,Attack,Midfield,Defence,Overall
2013,Manchester United,85,79,80,82
2013,Manchester City,84,83,81,82
2013,Chelsea,81,82,81,82
2013,Arsenal,79,81,80,80
2013,Tottenham Hotspur,77,80,78,80
2013,Liverpool,76,79,78,80
2013,Everton,78,78,78,78
2013,Swansea City,79,74,75,76
2013,Newcastle United,78,75,76,76
2013,Southampton,76,76,73,75
2013,Fulham,71,74,72,75
2013,West Ham United,76,74,72,74
2013,Stoke City,76,73,73,74
2013,Norwich City,74,74,74,74
2013,Sunderland,74,73,73,74
2013,Aston Villa,72,71,74,74
2013,West Bromwich Albion,70,74,72,74
2013,Hull City,72,71,71,72
2013,Cardiff City,72,70,73,72
2013,Crystal Palace,71,72,71,72
